,idandtype,productname,company,grade,interest,period,default_rate,target_rate,target,review_counts,average_rate
93,1093P2PINVEST,개별채권 70호,honestfund,2등급,8.61,24개월,1.0,100.0,15000000,12,4.3
94,1094P2PINVEST,개별채권 71호,honestfund,1등급,7.11,18개월,0.0,100.0,20000000,12,4.3
95,1095P2PINVEST,개별채권 72호,honestfund,6등급,15.0,24개월,3.0,100.0,5000000,12,4.3
96,1096P2PINVEST,개별채권 73호,honestfund,2등급,8.61,30개월,1.0,100.0,20000000,12,4.3
97,1097P2PINVEST,개별채권 74호,honestfund,2등급,7.11,12개월,0.0,100.0,20000000,12,4.3
98,1098P2PINVEST,개별채권 75호,honestfund,5등급,12.0,24개월,2.0,100.0,3000000,12,4.3
99,1099P2PINVEST,개별채권 76호,honestfund,1등급,7.11,30개월,0.0,100.0,15000000,12,4.3
100,1100P2PINVEST,개별채권 77호,honestfund,5등급,10.0,24개월,1.0,100.0,15000000,12,4.3
101,1101P2PINVEST,개별채권 78호,honestfund,3등급,9.54,24개월,1.0,100.0,15000000,12,4.3
102,1102P2PINVEST,개별채권 79호,honestfund,6등급,14.0,24개월,3.0,100.0,15000000,12,4.3
103,1103P2PINVEST,개별채권 80호,honestfund,3등급,7.37,18개월,1.0,100.0,15000000,12,4.3
104,1104P2PINVEST,개별채권 81호,honestfund,4등급,10.0,24개월,1.0,100.0,20000000,12,4.3
105,1105P2PINVEST,개별채권 82호,honestfund,5등급,9.54,18개월,1.0,100.0,8000000,12,4.3
106,1106P2PINVEST,개별채권 83호,honestfund,3등급,8.61,24개월,1.0,100.0,6000000,12,4.3
107,1107P2PINVEST,개별채권 84호,honestfund,5등급,9.81,12개월,1.0,100.0,15000000,12,4.3
108,1108P2PINVEST,개별채권 85호,honestfund,3등급,9.27,24개월,1.0,100.0,7000000,12,4.3
109,1109P2PINVEST,개별채권 86호,honestfund,5등급,12.0,24개월,2.0,100.0,10000000,12,4.3
110,1110P2PINVEST,개별채권 87호,honestfund,4등급,9.81,24개월,1.0,100.0,25000000,12,4.3
111,1111P2PINVEST,개별채권 88호,honestfund,6등급,13.0,18개월,2.0,100.0,7000000,12,4.3
112,1112P2PINVEST,개별채권 89호,honestfund,4등급,10.0,18개월,1.0,100.0,13000000,12,4.3
113,1113P2PINVEST,개별채권 90호,honestfund,2등급,7.93,30개월,1.0,100.0,25000000,12,4.3
114,1114P2PINVEST,개별채권 91호,honestfund,4등급,10.0,24개월,1.0,100.0,10000000,12,4.3
115,1115P2PINVEST,개별채권 92호,honestfund,6등급,13.0,24개월,2.0,100.0,10000000,12,4.3
116,1116P2PINVEST,개별채권 93호,honestfund,3등급,9.27,24개월,1.0,100.0,28000000,12,4.3
117,1117P2PINVEST,개별채권 94호,honestfund,3등급,7.93,18개월,1.0,100.0,7000000,12,4.3
118,1118P2PINVEST,개별채권 95호,honestfund,4등급,9.27,12개월,1.0,100.0,6000000,12,4.3
119,1119P2PINVEST,개별채권 96호,honestfund,5등급,10.0,18개월,1.0,100.0,10500000,12,4.3
120,1120P2PINVEST,개별채권 97호,honestfund,6등급,15.0,24개월,3.0,100.0,9000000,12,4.3
121,1121P2PINVEST,개별채권 98호,honestfund,2등급,7.11,12개월,0.0,100.0,10000000,12,4.3
122,1122P2PINVEST,스페셜딜 4호,honestfund,5등급,10.0,9개월,0.0,100.0,150000000,12,4.3
123,1123P2PINVEST,개별채권 99호,honestfund,6등급,13.0,24개월,2.0,100.0,10000000,12,4.3
124,1124P2PINVEST,개별채권 100호,honestfund,5등급,10.0,12개월,1.0,100.0,7000000,12,4.3
125,1125P2PINVEST,개별채권 101호,honestfund,5등급,10.0,24개월,2.0,100.0,15000000,12,4.3
126,1126P2PINVEST,개별채권 102호,honestfund,2등급,7.93,18개월,1.0,100.0,8000000,12,4.3
127,1127P2PINVEST,포트폴리오 5호,honestfund,3.98등급,11.0,18개월,0.0,100.0,620000000,12,4.3
128,1128P2PINVEST,개별채권 103호,honestfund,4등급,9.81,24개월,1.0,100.0,9000000,12,4.3
129,1129P2PINVEST,개별채권 104호,honestfund,3등급,8.61,24개월,1.0,100.0,20000000,12,4.3
130,1130P2PINVEST,개별채권 105호,honestfund,3등급,9.81,24개월,1.0,100.0,5000000,12,4.3
131,1131P2PINVEST,개별채권 106호,honestfund,5등급,12.0,24개월,2.0,100.0,20000000,12,4.3
132,1132P2PINVEST,개별채권 107호,honestfund,5등급,10.0,18개월,1.0,100.0,10000000,12,4.3
133,1133P2PINVEST,개별채권 108호,honestfund,5등급,11.0,24개월,2.0,100.0,15000000,12,4.3
134,1134P2PINVEST,개별채권 109호,honestfund,4등급,9.81,24개월,1.0,100.0,5000000,12,4.3
135,1135P2PINVEST,개별채권 110호,honestfund,6등급,15.0,24개월,3.0,100.0,3000000,12,4.3
136,1136P2PINVEST,개별채권 111호,honestfund,5등급,9.81,18개월,1.0,100.0,15000000,12,4.3
137,1137P2PINVEST,개별채권 112호,honestfund,1등급,6.77,12개월,0.0,100.0,20000000,12,4.3
138,1138P2PINVEST,개별채권 113호,honestfund,4등급,9.81,18개월,1.0,100.0,5000000,12,4.3
139,1139P2PINVEST,개별채권 114호,honestfund,2등급,7.11,12개월,0.0,100.0,5000000,12,4.3
140,1140P2PINVEST,개별채권 115호,honestfund,6등급,15.0,24개월,3.0,100.0,20000000,12,4.3
141,1141P2PINVEST,개별채권 116호,honestfund,2등급,7.93,12개월,1.0,100.0,3000000,12,4.3
142,1142P2PINVEST,개별채권 117호,honestfund,5등급,11.0,24개월,2.0,100.0,20000000,12,4.3
143,1143P2PINVEST,개별채권 118호,honestfund,2등급,8.61,18개월,1.0,100.0,10000000,12,4.3
144,1144P2PINVEST,개별채권 119호,honestfund,4등급,9.81,12개월,1.0,100.0,20000000,12,4.3
145,1145P2PINVEST,개별채권 120호,honestfund,2등급,6.77,12개월,0.0,100.0,8000000,12,4.3
146,1146P2PINVEST,개별채권 121호,honestfund,3등급,8.61,12개월,1.0,100.0,10000000,12,4.3
147,1147P2PINVEST,개별채권 122호,honestfund,4등급,11.0,18개월,2.0,100.0,8000000,12,4.3
148,1148P2PINVEST,개별채권 123호,honestfund,3등급,10.0,24개월,1.0,100.0,7000000,12,4.3
149,1149P2PINVEST,개별채권 124호,honestfund,3등급,9.81,24개월,1.0,100.0,3000000,12,4.3
150,1150P2PINVEST,개별채권 125호,honestfund,6등급,13.0,24개월,2.0,100.0,15000000,12,4.3
151,1151P2PINVEST,개별채권 126호,honestfund,5등급,12.0,24개월,2.0,100.0,7000000,12,4.3
152,1152P2PINVEST,포트폴리오 6호,honestfund,4등급,12.0,18개월,0.0,100.0,1152000000,12,4.3
153,1153P2PINVEST,포트폴리오 7호,honestfund,3.98등급,11.0,18개월,0.0,100.0,1140000000,12,4.3
154,1154P2PINVEST,포트폴리오 8호,honestfund,3.75등급,11.0,18개월,0.0,100.0,1360000000,12,4.3
155,1155P2PINVEST,압구정칼국수,funda,6등급,12.0,12개월,0.0,100.0,58000000,8,4.8
156,1156P2PINVEST,제33호 서울 강서구 방화동 오피스텔 및 상가,sodit,해당없음,14.0,6개월,0.0,100.0,300000000,5,4.8
157,1157P2PINVEST,서울 송파 신천동 진주아파트,together,해당없음,12.0,12개월,0.0,100.0,30000000,1,5.0
158,1158P2PINVEST,인천 강화 창리 세광엔리치빌,together,해당없음,12.0,12개월,0.0,100.0,20000000,1,5.0
159,1159P2PINVEST,서울 양천 신월동 에델팰리스,together,해당없음,13.0,12개월,0.0,100.0,10000000,1,5.0
160,1160P2PINVEST,16375채권 (생활비 목적),peoplefund,7등급,17.0,24개월,0.0,100.0,4000000,21,3.7
161,1161P2PINVEST,16888채권 (생활비 목적),peoplefund,6등급,13.0,24개월,0.0,100.0,1000000,21,3.7
162,1162P2PINVEST,17168채권 (생활비 목적),peoplefund,6등급,15.0,24개월,0.0,100.0,5000000,21,3.7
163,1163P2PINVEST,17128채권 (기존 대출 전환 목적),peoplefund,6등급,15.0,24개월,0.0,100.0,13000000,21,3.7
164,1164P2PINVEST,17112채권 (기존 대출 전환 목적),peoplefund,5등급,8.58,24개월,0.0,100.0,9000000,21,3.7
165,1165P2PINVEST,17014채권 (기존 대출 전환 목적),peoplefund,7등급,18.0,24개월,0.0,100.0,8000000,21,3.7
166,1166P2PINVEST,16803채권 (생활비 목적),peoplefund,5등급,7.81,24개월,0.0,100.0,7000000,21,3.7
167,1167P2PINVEST,16736채권 (투자 목적),peoplefund,4등급,6.67,12개월,0.0,100.0,14000000,21,3.7
168,1168P2PINVEST,제34호 경기 포천시 신북면 기지리 공장,sodit,해당없음,14.0,6개월,0.0,100.0,300000000,5,4.8
169,1169P2PINVEST,펀듀 37호,fundu,해당없음,16.0,3개월,0.0,100.0,600000000,3,4.0
170,1170P2PINVEST,제주 오라동 근린시설 및 단독주택,together,해당없음,14.0,12개월,0.0,100.0,250000000,1,5.0
171,1171P2PINVEST,경기 이천 중리동 이천라온팰리스,together,해당없음,12.0,12개월,0.0,100.0,50000000,1,5.0
172,1172P2PINVEST,경기 하남 망월동 미사강변도시,together,해당없음,12.0,12개월,0.0,100.0,90000000,1,5.0
173,1173P2PINVEST,17303채권 (기존 대출 전환 목적),peoplefund,7등급,17.0,24개월,0.0,100.0,10000000,21,3.7
174,1174P2PINVEST,17296채권 (기존 대출 전환 목적),peoplefund,4등급,7.81,24개월,0.0,100.0,30000000,21,3.7
175,1175P2PINVEST,17162채권 (전월세보증금 목적),peoplefund,5등급,10.0,24개월,0.0,100.0,9000000,21,3.7
